cuisine,recepies,ingredients
North Indian Recipes,Vegan Navratan Korma Recipe,"['carrots', ' beans french', ' cauliflower gobi', ' aloo boiled', ' tofu diced', ' onions', ' green chillies', ' ginger garlic paste', ' turmeric powder', ' red chilli powder', ' cardamom', ' black cardamom', ' cloves', ' ginger', ' coconut yogurt', ' coconut milk', ' mint leaves', ' saffron strands', ' foil', ' pineapple pieces', ' raisins', ' nuts toasted', ' badam almond', ' pistachios sliced', ' masala powder', ' coconut oil', ' poppy seeds', ' cashew nuts', ' badam almond']"
Indian,Banana Pomegranate Raita Recipe - Kela Anar Raita,"['yogurt', ' banana fried', ' pomegranate', ' red chili powder', ' sugar', ' cumin powder', ' dijon mustard', ' salt']"
Indian,Dhania Wale Aloo Recipe - Coriander Potato Dry,"['baby', ' cumin powder', ' black pepper powder', ' garam masala powder', ' lemon juice', ' sesame seeds til', ' ghee butter', ' rock salt', ' coriander dhania', ' ginger', ' green chilli']"
North Indian Recipes,Dahi Bhindi Recipe - Okra in Yogurt Curry with Caramelized Onions,"['bhindi', ' onion', ' ginger', ' curd dahi yogurt', ' flour', ' garam masala powder', ' turmeric powder', ' red chilli powder', ' salt', ' onions', ' sunflower oil', ' ghee', ' cumin seeds', ' red chillies', ' coriander']"
North Indian Recipes,Palak Paneer Bhurji Recipe - Palak Paneer Bhurji Recipe,"['cheese', ' spinach', ' green chillies', ' onion', ' tomato', ' garlic', ' cumin', ' red chilli powder', ' masala powder', ' mango powder', ' tbsp butter', ' salt', ' oil']"
Indian,Milk Powder Chena Burfi Recipe,"['milk', ' white vinegar', ' sugar', ' milk powder', ' condensed milk', ' cardamom', ' ghee', ' pistachios chopped', ' saffron strands', ' food']"
Indian,Carrot Orange Walnut Raita (Fruity Nutty Yogurt) Recipe,"['curd', ' carrot', ' orange', ' walnuts', ' cashew nuts', ' salt sugar', ' cumin powder', ' raita masala']"
Continental,Potato Pancakes Recipe,"['potato aloo', ' lemon lemon', ' onion', ' garlic', ' egg', ' all purpose flour', ' wheat bread crumbs', ' parsley leaves', ' chives', ' salt and pepper', ' peanut oil']"
Indian,Till Wale Aloo Recipe - Sesame Potato Sabzi,"['sunflower oil', ' aloo boiled', ' ginger paste', ' green chilli', ' sesame seeds', ' red chilli powder', ' cumin powder', ' coriander powder', ' salt', ' garam masala powder', ' sweet chutney', ' coriander']"
North Indian Recipes,Beetroot Loni Sponge Dosa Recipe,"['idli dosa', ' rice parboiled', ' poha flattened rice', ' buttermilk sour', ' cooking soda', ' butter loni butter', ' beetroot', ' curry leaves', ' green chilli paste', ' salt', ' sesame gingelly oil']"
North Indian Recipes,Sweet & Spicy Stuffed Paneer In Kofta Curry Recipe,"['paneer cottage cheese', ' green chilli', ' ginger', ' raisins', ' cashew nuts', ' badam almond', ' pistachios chopped', ' turmeric powder haldi', ' flour', ' salt', ' cardamom powder', ' sunflower oil', ' bay leaf', ' cardamom', ' cinnamon', ' cloves', ' mace', ' star anise', ' tomato puree', ' ginger', ' garlic', ' onion', ' coriander powder', ' red chilli powder', ' turmeric powder haldi', ' cashew soaked', ' curd dahi yogurt', ' salt', ' fenugreek leaves', ' honey', ' cream']"
North Indian Recipes,Spicy Baby Potatoes Recipe,"['baby potatoes', ' sunflower oil', ' red chilli', ' cumin seeds', ' curry leaves', ' coriander powder', ' turmeric powder', ' cumin powder', ' red chilli powder', ' garam masala powder', ' dry mango powder', ' salt', ' lemon juice', ' coriander']"
Continental,Barley Whole Wheat Coffee Marble Cake Recipe,"['wheat flour', ' barley flour', ' butter unsalted', ' sugar', ' eggs', ' baking powder', ' salt', ' instant coffee powder', ' water']"
Continental,Broccoli Corn & Barley Soup Recipe,"['barley seeds soaked', ' broccoli', ' green peas matar', ' sweet corn', ' green beans french beans', ' carrots', ' leaves spinach', ' tomatoes', ' onion', ' garlic', ' extra virgin olive oil', ' basil leaves', ' thyme leaves', ' red chilli flakes', ' salt', ' black pepper powder', ' corn flour', ' water', ' sour cream']"
Italian Recipes,Spirulina and Mint Basil Pesto Pasta Recipe,"['basil leaves', ' mint leaves', ' spirulina', ' badam almond blanched', ' garlic', ' tofu', ' black pepper powder', ' salt', ' extra virgin olive oil', ' pasta', ' garlic', ' green zucchini', ' bell pepper capsicum', ' tomato', ' red chilli flakes', ' oregano', ' salt']"
Indian,"Til Moongphali Aur Kundru Sabzi Recipe - Sesame, Peanuts And Ivy Gourd Stir Fry","['tindora', ' sunflower oil', ' mustard seeds', ' red chillies', ' curry leaves', ' peanuts', ' sesame seeds roasted', ' red chilli powder', ' coriander powder', ' turmeric powder', ' salt']"
Continental,Asian Style Honey Soy Sticky Chicken Recipe,"['chicken', ' soy sauce', ' honey', ' vinegar', ' garlic minced', ' ginger', ' sesame gingelly oil', ' salt', ' black pepper powder', ' sesame seeds til']"
Continental,Pomegranate Frozen Margarita Recipe,"['pomegranate', ' orange juice', ' lemon lemons', ' ice cubes', ' pomegranate fruit kernels', ' salt', ' lemon juice', ' tequila', ' sec', ' pomegranate fruit kernels', ' ice cubes', ' salt']"
North Indian Recipes,Matar Besan and Paneer Cheela Recipe - Matar Besan and Paneer Cheela Recipe,"['green peas boil', ' flour', ' cheese tighten', ' ginger', ' green chillies', ' turmeric powder', ' cumin powder', ' salt', ' oil']"
Indian,Leftover Roti Cutlet Recipe,"[' aloo mashed', ' green chillies', ' carrot', ' sweet corn mashed', ' onion', ' red chilli powder', ' salt', ' dry mango powder', ' black pepper powder', ' red chilli flakes', ' lemon juice', ' wheat bread crumbs', ' corn flour']"
Continental,Flourless Orange Cake With Cream Cheese Frosting Recipe,"['oranges', ' orange zest rind', ' sugar', ' eggs', ' sugar', ' almond', ' hazelnut powder', ' baking powder', ' britannia cheese', ' heavy whipping cream', ' orange juice', ' icing sugar']"
North Indian Recipes,Spicy Paneer Bhurji Pav Sandwich Recipe - Breakfast Recipe,"['sunflower oil', ' ginger', ' chilli', ' onion', ' tomato', ' turmeric powder haldi', ' red chilli powder', ' cottage cheese', ' coriander', ' salt', ' buns roasted']"
North Indian Recipes,Papaya and Carrot Halwa Recipe,"['papaya', ' carrot', ' sugar', ' milk', ' cardamom powder', ' saffron strands', ' badam almond', ' ghee']"
Indian,Sprouted Moong And Onion Fritters Recipe,"['flour', ' rice flour', ' green moong sprouts', ' onion', ' coriander dhania', ' green chillies', ' ginger', ' coriander powder', ' garam masala powder', ' lemon juice', ' salt', ' red chilli powder', ' sunflower oil']"
North Indian Recipes,Gawar Phali Masala Sabzi Recipe - Cluster Beans Gravy Sabzi,"['gawar', ' carom seeds', ' asafoetida', ' onion', ' tomatoes', ' garlic', ' ginger', ' turmeric powder', ' red chilli powder', ' coriander powder', ' jaggery', ' peanuts', ' salt', ' water', ' mustard oil', ' coriander dhania']"
Indian,Corn only quiche recipe,"['all purpose flour', ' ghee melted', ' carom seeds', ' salt', ' sunflower oil', ' green peas', ' sweet corn', ' green chillies', ' ginger', ' fennel seeds', ' garam masala powder', ' chaat masala powder', ' coriander', ' salt']"
North Indian Recipes,Lacha Onion Recipe - Masala Pickled Onions,"['onions', ' lemon juice', ' black salt kala namak', ' onions', ' red chilli powder', ' chaat masala powder', ' salt', ' lemon juice']"
Indian,Masala Cornflakes Chicken Recipe,"['chicken', ' red chilli powder', ' coriander powder', ' turmeric powder', ' garam masala powder', ' ginger garlic paste', ' coriander', ' salt', ' corn flakes', ' eggs', ' sunflower oil']"
North Indian Recipes,Tofu Bhurji Recipe - Spicy Scrambled Tofu,"['tofu', ' onion', ' red bell pepper capsicum', ' tomato', ' green chilli', ' cumin seeds', ' red chilli powder', ' black pepper powder', ' turmeric powder', ' coriander', ' salt', ' sunflower oil']"
Continental,Savoury Bread Pudding Recipe,"['wheat brown bread', ' green zucchini', ' carrot', ' red bell pepper capsicum', ' spinach leaves palak', ' mushrooms', ' onion', ' garlic', ' virgin olive oil', ' dijon mustard', ' thyme leaves', ' black pepper', ' milk', ' eggs', ' cheddar cheese', ' butter', ' salt']"
North Indian Recipes,Stuffed Radish Paneer Paratha Recipe,"['radish', ' paneer cottage cheese', ' chilli', ' garlic', ' ginger', ' cumin powder', ' sunflower oil', ' salt', ' turmeric powder haldi', ' cumin powder', ' wheat flour', ' ghee']"
Continental,Zucchini Tater Tots Recipe - A Delicious Party Appetizer,"[' green zucchini', ' red chilli flakes', ' oregano', ' thyme leaves', ' black pepper powder', ' cheddar cheese', ' whole wheat bread crumbs', ' salt']"
North Indian Recipes,Moringa Masoor Dal Recipe - Drumstick Leaves Dal,"['pink', ' drumstick moringa', ' asafoetida hing', ' cumin seeds', ' ginger', ' red chilli', ' tomato', ' green chilli slit', ' coriander powder', ' turmeric powder', ' red chilli powder', ' salt', ' ghee', ' lemon juice']"
South Indian Recipes,Egg Sholay Kebab Recipe,"['eggs', ' curry leaves', ' rice flour', ' flour', ' all purpose flour', ' red chilli powder', ' salt', ' sambar powder', ' ginger', ' garlic', ' green chilli paste', ' garam masala powder', ' garam masala powder', ' coriander powder', ' cumin powder', ' sunflower oil']"
Indian,One Pot Methi Mushroom Brown Rice Pulao Recipe,"['brown rice', ' button', ' fenugreek leaves', ' onion', ' ginger garlic paste', ' green chillies', ' cumin seeds', ' bay leaf', ' cinnamon stick', ' cloves', ' salt', ' sunflower oil']"
Continental,Papaya Orange Pomegranate Salad Recipe With Roasted Peanuts,"['papaya', ' pomegranate fruit kernels', ' oranges', ' cucumber', ' honey', ' salt and pepper', ' lemon juice', ' roasted peanuts', ' chaat masala powder']"
Continental,Chocolate Tart Recipe,"['all purpose flour maida', ' sugar', ' salt', ' butter unsalted', ' water temperature', ' heavy whipping cream', ' milk', ' dark chocolate', ' sugar', ' salt', ' eggs']"
North Indian Recipes,Navrang dal recipe - Navrang Dal (Recipe),"['green moong', ' white', ' kali urad', ' dal', ' kabuli chana', ' yellow moong dal', ' arhar dal', ' onion', ' tomato', ' ginger garlic paste', ' green chili', ' coriander powder', ' red chilli powder', ' garam masala powder', ' ginger', ' ghee', ' sugar', ' cumin seeds', ' salt']"
South Indian Recipes,Green Moong Dal Sundal Recipe - Green Moong Dal Sundal Recipe,"['sesame oil', ' rye', ' cumin', ' asafoetida', ' curry leaves', ' green chillies', ' salt', ' tbsp coconut', ' moong', ' lemon juice', ' coriander']"
South Indian Recipes,Chow Chow Sambar Recipe - Chow-Chow Sambar,"['arhar', ' chop', ' tamarind soaked', ' onion', ' tomatoes', ' sambar powder', ' turmeric powder', ' coriander', ' oil', ' salt', ' sesame oil', ' mustard', ' asafoetida', ' red chili', ' curry leaves']"
North Indian Recipes,Kurkuri Bhindi With Spicy Tomato Yogurt Gravy Recipe,"['bhindi', ' sunflower oil', ' flour', ' salt', ' red chilli powder', ' chaat masala powder', ' water', ' sunflower oil', ' mustard seeds', ' cumin seeds', ' asafoetida hing', ' ginger garlic paste', ' green chillies', ' onion', ' curd dahi', ' tomato', ' red chilli powder', ' turmeric powder', ' coriander powder']"
Indian,Thulli Recipe (Broken Wheat Halwa),"['wheat', ' water', ' fennel seeds', ' cardamom powder', ' sugar', ' ghee', ' cashew nuts', ' milk lukewarm', ' saffron strands few']"
Italian Recipes,Spinach And Tortellini Soup Recipe,"['all purpose flour', ' oregano', ' thyme leaves', ' parsley leaves', ' extra virgin olive oil', ' chilli flakes', ' salt', ' sunflower oil', ' all purpose flour', ' cheese', ' garlic', ' baby spinach', ' parsley leaves', ' onion', ' vegetable stock', ' black pepper powder', ' salt', ' italian seasoning', ' extra virgin olive oil']"
Continental,Four Cheese and Spinach Stuffed Mushrooms Recipe,"['mushrooms crimini', ' extra virgin olive oil', ' onions', ' garlic', ' spinach leaves', ' white pepper powder', ' parsley leaves', ' basil leaves', ' black pepper powder', ' salt', ' garlic powder', ' parmesan cheese', ' mascarpone cheese', ' britannia cream cheese', ' mozzarella cheese']"
Continental,Roasted Vegetable Pasta Primavera Recipe,"['mushrooms crimini', ' extra virgin olive oil', ' onions', ' garlic', ' spinach leaves', ' white pepper powder', ' parsley leaves', ' basil leaves', ' black pepper powder', ' salt', ' garlic powder', ' parmesan cheese', ' mascarpone cheese', ' britannia cream cheese', ' mozzarella cheese']"
South Indian Recipes,Kabuli Chana Sundal Recipe - Chickpea Sundal Recipe,"['black gram', ' oil', ' rye', ' green chilli', ' ginger', ' asafoetida', ' coconut', ' coriander', ' salt']"
Italian Recipes,Spaghetti Pasta Recipe In Roasted Pumpkin Sauce,"['pumpkin', ' tomato puree', ' cream', ' onion', ' extra virgin olive oil', ' garlic', ' parmesan cheese', ' basil leaves', ' salt', ' black pepper powder', ' pasta', ' red chilli flakes', ' italian seasoning', ' parmesan cheese']"
Continental,Cold Potato Salad With Cilantro Dressing Recipe,"['baby boiled', ' curd greek yogurt', ' mustard sauce', ' coriander', ' apple cider vinegar', ' extra virgin olive oil', ' red chilli flakes', ' salt']"
South Indian Recipes,Instant Puliodarai Powder Recipe (Puliogare / Pulihora Powder),"['tamarind', ' jaggery powdered', ' asafoetida hing', ' salt', ' chana dal', ' white urad', ' coriander dhania seeds', ' red chillies gundu', ' black peppercorns', ' sesame seeds seeds', ' flax seeds', ' sunflower seeds', ' melon seeds', ' seeds fenugreek seeds', ' sesame', ' peanuts', ' mustard seeds', ' sesame', ' red chillies', ' curry leaves']"
North Indian Recipes,Party Sev Puri Recipe Filled With Potato & Pomegranate Mint Mayo,"['aloo boiled', ' powder pomegranate seed', ' del monte', ' onion', ' chilli', ' lemon', ' black salt kala namak', ' coriander dhania', ' sev']"
North Indian Recipes,Roasted Chickpeas Recipe,"['kabuli chana', ' cajun spice', ' garam masala powder', ' red chilli flakes', ' oregano', ' olive oil', ' garlic garlic paste', ' salt']"
Indian,Carrot Chutney Recipe,"['carrots', ' red chillies', ' mustard seeds', ' jaggery', ' salt', ' sunflower oil', ' mustard seeds', ' curry leaves']"
North Indian Recipes,Peeled Moong Dal Curry Recipe,"['green moong', ' onion', ' garlic', ' cloves', ' cumin seeds', ' green chillies', ' turmeric powder haldi', ' tomato', ' garam masala powder', ' salt', ' ghee', ' coriander dhania']"
North Indian Recipes,Sookhi Moong Palak Dal Recipe (Whole Green Moong Gram with Spinach),"['green moong', ' spinach leaves palak', ' tomatoes', ' mustard oil', ' cumin seeds', ' onions', ' garlic', ' ginger', ' green chillies', ' salt', ' onion', ' green chilli', ' coriander']"
Indian,Stuffed Palak Paneer Paratha,"['wheat flour', ' water', ' salt', ' sunflower oil', ' cottage cheese', ' spinach leaves palak', ' fenugreek leaves', ' red chilli powder', ' turmeric powder haldi', ' dry mango powder', ' cumin powder', ' salt', ' nutralite classic spread']"
North Indian Recipes,Potato Stuffed Dal Dhokli Recipe,"['wheat flour', ' salt', ' sunflower oil', ' wheat flour', ' aloo boiled mashed', ' red chilli powder', ' garam masala powder', ' coriander', ' sugar', ' lemon juice', ' arhar dal split toor', ' turmeric powder', ' peanuts moongphali', ' salt', ' tomato', ' chilli', ' ginger', ' lemon juice', ' jaggery', ' sunflower oil', ' mustard seeds', ' cumin seeds', ' asafoetida hing', ' curry leaves', ' red chillies', ' cinnamon', ' cloves', ' bay leaf', ' coriander']"
Indian,Green Chilli Chicken Fry Recipe - Green Chilli Chicken Fry Recipe,"[' green chillies', ' garlic', ' ginger', ' green coriander', ' onions', ' tomatoes', ' cinnamon', ' coriander powder', ' salt', ' water', ' lemon', ' oil']"
Indian,Tofu and Chickpea Patty Recipe (Cutlets),"['tofu', ' wheat bread crumbs', ' onion', ' coriander', ' green chillies', ' ginger', ' cumin powder', ' chana brown chickpeas', ' chaat masala', ' salt', ' olive oil']"
North Indian Recipes,Paneer In Coconut Gravy Recipe,"['homemade cottage cheese', ' onion', ' tomatoes', ' garam masala powder', ' salt', ' water', ' butter', ' coriander dhania seeds', ' cumin seeds', ' red chillies', ' garlic', ' ginger', ' onion', ' coconut']"
South Indian Recipes,Desiccated Coconut Coriander Chutney Recipe,"['green chillies', ' garlic', ' ginger', ' cumin seeds', ' lemon juice', ' dessicated coconut', ' salt', ' coriander']"
Continental,Quick Masala French Toast Recipe,"['brown bread', ' eggs', ' sunflower oil butter', ' milk', ' red chilli flakes', ' salt', ' coriander', ' black pepper powder', ' onion', ' green chillies']"
North Indian Recipes,"Corn Salad With Radishes, Jalapeño And Lime In Mint Mayo Recipe","['sweet corn steamed', ' baby radish', ' pickled jalapenos', ' lemon juice', ' del monte', ' coriander dhania', ' salt', ' white pepper powder']"
Continental,Grilled Eggplant With Tahini and Yogurt Dip Recipe,"['brinjal', ' tzatziki', ' tahini', ' tomatoes dipped', ' pomegranate sauce recipe', ' mint leaves', ' salt and pepper', ' extra virgin olive oil']"
North Indian Recipes,Potato Paneer Curry Without Onion And Garlic Recipe (Vrat Wale Aloo Paneer),"[' paneer cottage cheese', ' tomatoes', ' ginger', ' green chillies', ' red chilli powder', ' coriander powder', ' cumin powder', ' salt', ' sunflower oil', ' coriander dhania']"
